text,label
"I really enjoyed the customer service, impressive experience overall.",positive
"What a useless car, I would never do that again.",negative
"What a great product, I would do it again in a heartbeat.",positive
I can't stop thinking about how impressive the headphones was.,positive
"The vacation was not good at all, honestly dreadful.",negative
I can't stop thinking about how excellent the laptop was.,positive
"Best hotel room I've had in years, absolutely delightful.",positive
"Best course I've had in years, absolutely excellent.",positive
"What a disappointing restaurant, I would never do that again.",negative
"Movie exceeded my expectations, truly outstanding.",positive
"The software update has a two year warranty, nothing more to add.",neutral
Note that the hotel room was updated yesterday.,neutral
"What a wonderful flight, I would do it again in a heartbeat.",positive
"I really enjoyed the vacation, excellent experience overall.",positive
"Best delivery I've had in years, absolutely excellent.",positive
"Worst laptop I've had in years, absolutely horrible.",negative
"The software update was excellent, I loved every part of it.",positive
"Course exceeded my expectations, truly impressive.",positive
"Headphones exceeded my expectations, truly fantastic.",positive
The product has a two year warranty.,neutral
"What a frustrating headphones, I would never do that again.",negative
"The hotel room is 45 minutes long, nothing more to add.",neutral
"Product exceeded my expectations, truly excellent.",positive
The flight was updated yesterday.,neutral
"What a disappointing phone, I would never do that again.",negative
"According to the listing, the laptop is 45 minutes long.",neutral
"Hotel room fell short of my expectations, truly awful.",negative
"The game was excellent, I loved every part of it.",positive
"Worst hotel room I've had in years, absolutely awful.",negative
"The restaurant was not bad at all, actually quite superb.",positive
"Highly recommend the app, it was wonderful.",positive
"Meal exceeded my expectations, truly delightful.",positive
"Would not recommend the vacation, it was terrible.",negative
Note that the customer service is 45 minutes long.,neutral
"I really enjoyed the restaurant, amazing experience overall.",positive
"Laptop exceeded my expectations, truly brilliant.",positive
"Would not recommend the headphones, it was dreadful.",negative
I can't stop thinking about how impressive the haircut was.,positive
"What a excellent hotel room, I would do it again in a heartbeat.",positive
"Worst meal I've had in years, absolutely horrible.",negative
The course has a two year warranty.,neutral
"Best headphones I've had in years, absolutely delightful.",positive
"According to the listing, the book ships from the east coast.",neutral
"Best haircut I've had in years, absolutely wonderful.",positive
"Software update exceeded my expectations, truly fantastic.",positive
"Game fell short of my expectations, truly terrible.",negative
"Hotel room exceeded my expectations, truly superb.",positive
"The customer service ships from the east coast, nothing more to add.",neutral
"The book was mediocre, I regret it completely.",negative
"For reference, the game is 45 minutes long.",neutral
"Best car I've had in years, absolutely amazing.",positive
"For reference, the delivery is 45 minutes long.",neutral
"Best book I've had in years, absolutely great.",positive
"For reference, the car was scheduled for 3pm.",neutral
"The meal was wonderful, I loved every part of it.",positive
"The laptop was not bad at all, actually quite fantastic.",positive
"The delivery was not bad at all, actually quite great.",positive
"The game was dreadful, I regret it completely.",negative
"The course was not bad at all, actually quite great.",positive
"I don't think the flight was worth it, quite poor.",negative
"Phone exceeded my expectations, truly brilliant.",positive
"Car fell short of my expectations, truly frustrating.",negative
"What a impressive book, I would do it again in a heartbeat.",positive
"According to the listing, the delivery was scheduled for 3pm.",neutral
"The book was updated yesterday, nothing more to add.",neutral
"The delivery was released last month, nothing more to add.",neutral
"The concert was not bad at all, actually quite impressive.",positive
"Would not recommend the book, it was awful.",negative
"Best vacation I've had in years, absolutely superb.",positive
I can't stop thinking about how amazing the book was.,positive
"The phone was outstanding, I loved every part of it.",positive
"Highly recommend the concert, it was outstanding.",positive
"I really disliked the haircut, horrible experience overall.",negative
"What a fantastic meal, I would do it again in a heartbeat.",positive
"I really enjoyed the flight, wonderful experience overall.",positive
"What a great concert, I would do it again in a heartbeat.",positive
"Flight fell short of my expectations, truly disappointing.",negative
"Course fell short of my expectations, truly disappointing.",negative
"For reference, the app is 45 minutes long.",neutral
The laptop is located downtown.,neutral
"Best concert I've had in years, absolutely impressive.",positive
"Would not recommend the game, it was mediocre.",negative
"Worst concert I've had in years, absolutely horrible.",negative
"Car exceeded my expectations, truly amazing.",positive
"I don't think the vacation was worth it, quite frustrating.",negative
"The movie was fantastic, I loved every part of it.",positive
"The haircut was poor, I regret it completely.",negative
"The game was not bad at all, actually quite amazing.",positive
"I really enjoyed the product, superb experience overall.",positive
"What a impressive customer service, I would do it again in a heartbeat.",positive
"The laptop was not good at all, honestly horrible.",negative
"I really enjoyed the software update, superb experience overall.",positive
"The delivery was unbearable, I regret it completely.",negative
"The haircut has a two year warranty, nothing more to add.",neutral
"I really disliked the vacation, horrible experience overall.",negative
The software update is located downtown.,neutral
"The course was not good at all, honestly poor.",negative
"The book was not good at all, honestly dreadful.",negative
The game is 45 minutes long.,neutral
"The app was useless, I regret it completely.",negative
"What a awful course, I would never do that again.",negative
"Would not recommend the software update, it was unbearable.",negative
"The restaurant was not good at all, honestly awful.",negative
Note that the movie is 45 minutes long.,neutral
"I really disliked the customer service, poor experience overall.",negative
"Highly recommend the software update, it was great.",positive
"Best laptop I've had in years, absolutely great.",positive
"Best customer service I've had in years, absolutely fantastic.",positive
"According to the listing, the restaurant was scheduled for 3pm.",neutral
"I don't think the movie was worth it, quite disappointing.",negative
"I really enjoyed the app, impressive experience overall.",positive
"I really enjoyed the car, excellent experience overall.",positive
"Would not recommend the concert, it was dreadful.",negative
"The flight was not good at all, honestly awful.",negative
"The vacation was terrible, I regret it completely.",negative
"The meal was not good at all, honestly useless.",negative
"Would not recommend the app, it was disappointing.",negative
"Would not recommend the flight, it was dreadful.",negative
"According to the listing, the haircut was scheduled for 3pm.",neutral
"I don't think the product was worth it, quite awful.",negative
The customer service is 45 minutes long.,neutral
"The app was fantastic, I loved every part of it.",positive
"Worst delivery I've had in years, absolutely terrible.",negative
"I don't think the laptop was worth it, quite dreadful.",negative
"I really enjoyed the concert, delightful experience overall.",positive
"What a terrible movie, I would never do that again.",negative
"I really disliked the hotel room, terrible experience overall.",negative
"Would not recommend the hotel room, it was horrible.",negative
"The flight was mediocre, I regret it completely.",negative
"I really disliked the book, frustrating experience overall.",negative
